2019-04-09 09:30:01.089325,0
2019-04-09 10:00:01.179266,10
2019-04-09 10:30:01.178814,10
2019-04-09 11:00:01.092775,12
2019-04-09 11:30:01.164583,12
2019-04-09 12:00:01.134384,15
2019-04-09 12:30:01.565010,18
2019-04-09 13:00:01.373050,21
2019-04-09 13:30:01.137880,25
2019-04-09 14:00:01.181237,26
2019-04-09 14:30:01.240441,26
2019-04-09 15:00:01.200683,26
2019-04-09 15:30:01.196694,26
2019-04-09 16:00:23.432644,29
2019-04-09 16:30:01.117846,31
2019-04-09 17:00:02.780549,35
2019-04-09 17:30:02.776482,36
2019-04-09 18:00:02.780627,40
2019-04-09 18:30:01.336315,49
2019-04-09 19:00:01.163263,53
2019-04-09 19:30:01.097403,54
2019-04-09 20:00:01.033862,63
2019-04-09 20:30:01.055280,68
2019-04-09 21:00:02.924017,72
2019-04-09 21:30:02.998784,80
2019-04-09 22:00:07.683379,89
2019-04-09 22:30:06.703322,124
